statue,statueLabel,height,creationDate,countryLabel,elevation,materialLabel
http://www.wikidata.org/entity/Q805445,Christ the King statue,21,1958-10-25T00:00:00Z,Колумбия,1440,железобетон
http://www.wikidata.org/entity/Q805445,Christ the King statue,21,1958-10-25T00:00:00Z,Колумбия,1440,талькохлорит
http://www.wikidata.org/entity/Q805445,Christ the King statue,26,1958-10-25T00:00:00Z,Колумбия,1440,железобетон
http://www.wikidata.org/entity/Q805445,Christ the King statue,26,1958-10-25T00:00:00Z,Колумбия,1440,талькохлорит
http://www.wikidata.org/entity/Q62018640,A Troita,3,2016-05-29T00:00:00Z,Испания,291,сталь
http://www.wikidata.org/entity/Q20541954,Q20541954,13.85,1991-05-03T00:00:00Z,Испания,51,Rosa Porriño
http://www.wikidata.org/entity/Q52156939,Monument to Carlos Gardel,2.12,1990-12-01T00:00:00Z,Испания,78,гранит
http://www.wikidata.org/entity/Q62018640,A Troita,3,2016-05-29T00:00:00Z,Испания,291,Сталь кортеновская
http://www.wikidata.org/entity/Q108380549,Roi Table,60,http://www.wikidata.org/.well-known/genid/73e86c25d864b167a0572a3e47e790ec,Франция,128,песчаник
http://www.wikidata.org/entity/Q16395581,бюст Нельсона Степаняна в Ереване,4,1950-01-01T00:00:00Z,Армения,987,базальт
http://www.wikidata.org/entity/Q16395581,бюст Нельсона Степаняна в Ереване,4,1950-01-01T00:00:00Z,Армения,987,бронза
http://www.wikidata.org/entity/Q646012,Памятник Нидервальд,12.5,1883-01-01T00:00:00Z,Германия,355,камень
http://www.wikidata.org/entity/Q646012,Памятник Нидервальд,12.5,1883-01-01T00:00:00Z,Германия,355,бронза
http://www.wikidata.org/entity/Q51954713,Monument to Jules Verne,1.7,2005-01-01T00:00:00Z,Испания,14,гранит
http://www.wikidata.org/entity/Q16378055,памятник Григору Нарекаци,3.25,2002-04-19T00:00:00Z,Армения,966,гранит
http://www.wikidata.org/entity/Q134836810,Q134836810,37,1954-01-03T00:00:00Z,Колумбия,1632,бетон
http://www.wikidata.org/entity/Q16378055,памятник Григору Нарекаци,3.25,2002-04-19T00:00:00Z,Армения,966,базальт
http://www.wikidata.org/entity/Q51954713,Monument to Jules Verne,1.7,2005-01-01T00:00:00Z,Испания,14,бронза
http://www.wikidata.org/entity/Q16378055,памятник Григору Нарекаци,3.25,2002-04-19T00:00:00Z,Армения,966,бронза
http://www.wikidata.org/entity/Q62018640,A Troita,3,2016-05-29T00:00:00Z,Испания,291,нержавеющая сталь
