statue,statueLabel,statueType,statueTypeLabel,height,creationYear,countryLabel,materialLabel
http://www.wikidata.org/entity/Q4302178,Монумент Победы,http://www.wikidata.org/entity/Q170980,обелиск,141.8,1995,Россия,бронза
http://www.wikidata.org/entity/Q6163386,Virgin of El Panecillo,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,30,1975,Эквадор,алюминий
http://www.wikidata.org/entity/Q6163386,Virgin of El Panecillo,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,11,1975,Эквадор,алюминий
http://www.wikidata.org/entity/Q16579809,Monument to Carlo Turano,http://www.wikidata.org/entity/Q179700,статуя,220,1926,Италия,гранит
http://www.wikidata.org/entity/Q4967190,Бригадный Генерал Тадеуш Костюшко,http://www.wikidata.org/entity/Q860861,скульптура,3,1910,США,гранит
http://www.wikidata.org/entity/Q16579809,Monument to Carlo Turano,http://www.wikidata.org/entity/Q179700,статуя,220,1926,Италия,бронза
http://www.wikidata.org/entity/Q4967190,Бригадный Генерал Тадеуш Костюшко,http://www.wikidata.org/entity/Q860861,скульптура,3,1910,США,бронза
http://www.wikidata.org/entity/Q4343592,Памятник семи генералам,http://www.wikidata.org/entity/Q19860854,утраченное здание или строение,30,1841,Царство Польское,мрамор
http://www.wikidata.org/entity/Q3862639,Monument to Alessandro Manzoni,http://www.wikidata.org/entity/Q860861,скульптура,167,1883,Италия,бронза
http://www.wikidata.org/entity/Q16271021,Памятник Ленину (Челябинск),http://www.wikidata.org/entity/Q179700,статуя,15,1959,Россия,бронза
http://www.wikidata.org/entity/Q12526528,Памятник Абылай-хану,http://www.wikidata.org/entity/Q570116,достопримечательность,5,1999,Казахстан,бронза
http://www.wikidata.org/entity/Q12526528,Памятник Абылай-хану,http://www.wikidata.org/entity/Q570116,достопримечательность,15,1999,Казахстан,бронза
http://www.wikidata.org/entity/Q16393617,статуя Микаэла Налбандяна,http://www.wikidata.org/entity/Q179700,статуя,4.5,1937,Армения,гранит
http://www.wikidata.org/entity/Q16393617,статуя Микаэла Налбандяна,http://www.wikidata.org/entity/Q179700,статуя,4.5,1965,Армения,гранит
http://www.wikidata.org/entity/Q16393617,статуя Микаэла Налбандяна,http://www.wikidata.org/entity/Q179700,статуя,4.5,1937,Армения,бронза
http://www.wikidata.org/entity/Q16393617,статуя Микаэла Налбандяна,http://www.wikidata.org/entity/Q179700,статуя,4.5,1965,Армения,бронза
http://www.wikidata.org/entity/Q12046319,Q12046319,http://www.wikidata.org/entity/Q860861,скульптура,570,1901,Чехия,песчаник
http://www.wikidata.org/entity/Q16383201,Памятник Хачатуру Абовяну (Ереван),http://www.wikidata.org/entity/Q2065736,культурная ценность,9,1948,Армения,гранит
http://www.wikidata.org/entity/Q3862634,Monument to Vittorio Emanuele II,http://www.wikidata.org/entity/Q860861,скульптура,39,1880,Италия,декоративный гранит
http://www.wikidata.org/entity/Q16383201,Памятник Хачатуру Абовяну (Ереван),http://www.wikidata.org/entity/Q2065736,культурная ценность,9,1948,Армения,бронза
http://www.wikidata.org/entity/Q16381506,Памятник Торосу Рослину,http://www.wikidata.org/entity/Q2065736,культурная ценность,3.4,1967,Армения,базальт
http://www.wikidata.org/entity/Q16270932,Памятник Ватутину (Киев),http://www.wikidata.org/entity/Q2065736,культурная ценность,8.55,1948,Украина,гранит
http://www.wikidata.org/entity/Q16584362,Organy - sculpture of Władysław Hasior,http://www.wikidata.org/entity/Q9325291,outdoor sculpture,13,1966,Польша,металл
http://www.wikidata.org/entity/Q16584362,Organy - sculpture of Władysław Hasior,http://www.wikidata.org/entity/Q20437094,инсталляция,13,1966,Польша,металл
http://www.wikidata.org/entity/Q4240327,Крест Скорби,http://www.wikidata.org/entity/Q1081138,памятник истории,5.5,2000,Россия,чугун
http://www.wikidata.org/entity/Q16366540,памятник Александра Спендиаряна,http://www.wikidata.org/entity/Q2065736,культурная ценность,8.5,1953,Армения,гранит
http://www.wikidata.org/entity/Q16964751,Punta Santa Ana Lighthouse,http://www.wikidata.org/entity/Q39715,маяк,5,1944,Чили,бетон
http://www.wikidata.org/entity/Q16366540,памятник Александра Спендиаряна,http://www.wikidata.org/entity/Q2065736,культурная ценность,8.5,1953,Армения,бронза
http://www.wikidata.org/entity/Q6472793,памятник Владимиру Ильичу Ленину,http://www.wikidata.org/entity/Q179700,статуя,7,1933,Беларусь,бронза
http://www.wikidata.org/entity/Q3862615,"Monumento a Giovanni Paolo II, Roma",http://www.wikidata.org/entity/Q179700,статуя,5,2011,Италия,бронза
http://www.wikidata.org/entity/Q3862632,Памятник Виктору Эммануилу II (Милан),http://www.wikidata.org/entity/Q860861,скульптура,1480,1879,Италия,бронза
http://www.wikidata.org/entity/Q16402713,Памятник Фрику,http://www.wikidata.org/entity/Q2065736,культурная ценность,3.4,1967,Армения,базальт
http://www.wikidata.org/entity/Q3739792,Маспаломас (маяк),http://www.wikidata.org/entity/Q39715,маяк,56,1890,Испания,древесина
http://www.wikidata.org/entity/Q3739792,Маспаломас (маяк),http://www.wikidata.org/entity/Q39715,маяк,56,1890,Испания,железо
http://www.wikidata.org/entity/Q16665231,Statue of Samuel de Champlain,http://www.wikidata.org/entity/Q179700,статуя,16,1898,Канада,бронза
http://www.wikidata.org/entity/Q3739792,Маспаломас (маяк),http://www.wikidata.org/entity/Q39715,маяк,56,1890,Испания,камень
http://www.wikidata.org/entity/Q6347940,Kailashnath Mahadev Statue,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,43.5,2010,Непал,медь
http://www.wikidata.org/entity/Q6347940,Kailashnath Mahadev Statue,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,43.5,2010,Непал,сталь
http://www.wikidata.org/entity/Q6347940,Kailashnath Mahadev Statue,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,43.5,2010,Непал,цинк
http://www.wikidata.org/entity/Q6347940,Kailashnath Mahadev Statue,http://www.wikidata.org/entity/Q1779653,колоссальная статуя,43.5,2010,Непал,бетон
http://www.wikidata.org/entity/Q16271001,Памятник Ленину (Элиста),http://www.wikidata.org/entity/Q179700,статуя,9.95,1970,Россия,бронза
http://www.wikidata.org/entity/Q17051597,Memoria Urbana,http://www.wikidata.org/entity/Q20437094,инсталляция,31,2012,Германия,сталь
http://www.wikidata.org/entity/Q17051597,Memoria Urbana,http://www.wikidata.org/entity/Q20437094,инсталляция,31,2012,Германия,бетон
http://www.wikidata.org/entity/Q5906580,Héroes de Cavite,http://www.wikidata.org/entity/Q2293362,скульптурная группа,15,1923,Испания,мрамор
http://www.wikidata.org/entity/Q5906580,Héroes de Cavite,http://www.wikidata.org/entity/Q2293362,скульптурная группа,15,1923,Испания,бронза
http://www.wikidata.org/entity/Q3739792,Маспаломас (маяк),http://www.wikidata.org/entity/Q68773434,центр,56,1890,Испания,древесина
http://www.wikidata.org/entity/Q3739792,Маспаломас (маяк),http://www.wikidata.org/entity/Q68773434,центр,56,1890,Испания,железо
http://www.wikidata.org/entity/Q3739792,Маспаломас (маяк),http://www.wikidata.org/entity/Q68773434,центр,56,1890,Испания,камень
http://www.wikidata.org/entity/Q16375513,Памятник Габриэлю Сундукяну,http://www.wikidata.org/entity/Q2065736,культурная ценность,4,1972,Армения,туф
http://www.wikidata.org/entity/Q16665231,Statue of Samuel de Champlain,http://www.wikidata.org/entity/Q179700,статуя,4.25,1898,Канада,бронза
http://www.wikidata.org/entity/Q6738080,Major General John A. Logan,http://www.wikidata.org/entity/Q860861,скульптура,12,1901,США,гранит
http://www.wikidata.org/entity/Q6738080,Major General John A. Logan,http://www.wikidata.org/entity/Q860861,скульптура,12,1901,США,бронза
http://www.wikidata.org/entity/Q16393643,памятник Мхитару Гошу,http://www.wikidata.org/entity/Q2065736,культурная ценность,3.5,1953,Армения,базальт
http://www.wikidata.org/entity/Q15077321,Памятник Андрею Сахарову,http://www.wikidata.org/entity/Q2065736,культурная ценность,4.5,2001,Армения,медь
