film,filmLabel,capital_cost
http://www.wikidata.org/entity/Q645405,Альфа и Омега: Клыкастая братва,20000000
http://www.wikidata.org/entity/Q725842,Дом-монстр,75000000
http://www.wikidata.org/entity/Q681918,Монстры против пришельцев,175000000
http://www.wikidata.org/entity/Q704708,Астерикс завоёвывает Америку,19000000
http://www.wikidata.org/entity/Q965266,Дюймовочка,28000000
http://www.wikidata.org/entity/Q943192,Фантазия,2250000
http://www.wikidata.org/entity/Q901145,Интерстелла 5555: и5тория 5екретной 5олнечной 5истемы,4000000
http://www.wikidata.org/entity/Q903821,Шевели ластами 2,25
http://www.wikidata.org/entity/Q908816,Тайна Келлс,8000000
http://www.wikidata.org/entity/Q922193,Медвежонок Винни и его друзья,30000000
http://www.wikidata.org/entity/Q930134,Коты не танцуют,32000000
http://www.wikidata.org/entity/Q936194,Не бей копытом,110000000
http://www.wikidata.org/entity/Q941262,Планета 51,70000000
http://www.wikidata.org/entity/Q944102,Гандахар. Световые годы,5500000
http://www.wikidata.org/entity/Q126800,Делай ноги,100000000
http://www.wikidata.org/entity/Q129161,Бэтмен: Год первый (мультфильм),3500000
http://www.wikidata.org/entity/Q129193,Кунг-фу панда,130000000
http://www.wikidata.org/entity/Q156401,Побег из курятника,45000000
http://www.wikidata.org/entity/Q160793,Вальс с Баширом,2000000
http://www.wikidata.org/entity/Q164417,Труп невесты,40000000
http://www.wikidata.org/entity/Q165512,101 далматинец,4000000
http://www.wikidata.org/entity/Q132863,В поисках Немо,94000000
http://www.wikidata.org/entity/Q165630,Монстр в Париже,28200000
http://www.wikidata.org/entity/Q134430,Белоснежка и семь гномов,1488423
http://www.wikidata.org/entity/Q170035,Рататуй,150000000
http://www.wikidata.org/entity/Q171300,Принцесса и лягушка,105000000
http://www.wikidata.org/entity/Q171048,История игрушек,30000000
http://www.wikidata.org/entity/Q142637,Помогите! Я рыба,100000000
http://www.wikidata.org/entity/Q136625,Хранители снов,145000000
http://www.wikidata.org/entity/Q208131,Шрек навсегда,165000000
http://www.wikidata.org/entity/Q215518,Аладдин,28000000
http://www.wikidata.org/entity/Q212792,Вольт,150000000
http://www.wikidata.org/entity/Q213012,Сезон охоты,85000000
http://www.wikidata.org/entity/Q213326,Суперсемейка,92000000
http://www.wikidata.org/entity/Q215365,Братец медвежонок,46000000
http://www.wikidata.org/entity/Q216929,Оливер и компания,31000000
http://www.wikidata.org/entity/Q215617,Спящая красавица,6000000
http://www.wikidata.org/entity/Q213787,Горбун из Нотр-Дама,70000000
http://www.wikidata.org/entity/Q216153,Приключения Флика,120000000
http://www.wikidata.org/entity/Q208696,Тарзан,130000000
http://www.wikidata.org/entity/Q303887,Q303887,1100000
"http://www.wikidata.org/entity/Q277157,""Облачно, возможны осадки: Месть ГМО"",78000000"
http://www.wikidata.org/entity/Q374431,Приключения Тигрули,30000000
http://www.wikidata.org/entity/Q329316,Чёрный котёл,36000000
http://www.wikidata.org/entity/Q324262,Кот в сапогах,130000000
http://www.wikidata.org/entity/Q373096,Как приручить дракона,165000000
http://www.wikidata.org/entity/Q300345,Кошачья жизнь,7500000
http://www.wikidata.org/entity/Q305250,Ледниковый период,59000000
http://www.wikidata.org/entity/Q400097,Невероятные приключения Уоллеса и Громита: Стрижка «под ноль»,1300000
http://www.wikidata.org/entity/Q378913,Властелин колец,4000000
http://www.wikidata.org/entity/Q318428,Уоллес и Громит: Проклятие кролика-оборотня,30000000
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,90000000
http://www.wikidata.org/entity/Q322328,Кошмар перед Рождеством,24000000
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,13000000
http://www.wikidata.org/entity/Q392530,Планета сокровищ,140000000
http://www.wikidata.org/entity/Q275432,Ранго,135000000
http://www.wikidata.org/entity/Q486588,Шрек Третий,160000000
http://www.wikidata.org/entity/Q476329,Динозавр,127500000
http://www.wikidata.org/entity/Q484783,Ачи и Сипак: Убойный дуэт,3500000
http://www.wikidata.org/entity/Q485983,Шрек 2,150000000
http://www.wikidata.org/entity/Q487447,Кунг-фу панда 2,150000000
http://www.wikidata.org/entity/Q488937,Фантастические дни,13000000
http://www.wikidata.org/entity/Q190135,Русалочка,40000000
http://www.wikidata.org/entity/Q495850,Семейка Крудс,135000000
http://www.wikidata.org/entity/Q184701,Коты-Аристократы,4000000
http://www.wikidata.org/entity/Q498375,Порко Россо,2800000000
http://www.wikidata.org/entity/Q477965,Персеполис,7300000
http://www.wikidata.org/entity/Q483815,Шрек,60000000
http://www.wikidata.org/entity/Q182254,Симпсоны в кино,75000000
http://www.wikidata.org/entity/Q187266,История игрушек 2,90000000
http://www.wikidata.org/entity/Q187278,История игрушек: Большой побег,200000000
http://www.wikidata.org/entity/Q187726,Корпорация монстров,115000000
http://www.wikidata.org/entity/Q188439,Рапунцель: Запутанная история,260000000
http://www.wikidata.org/entity/Q189875,Алиса в Стране чудес,3000000
http://www.wikidata.org/entity/Q465275,Бесподобный мистер Фокс,40000000
http://www.wikidata.org/entity/Q486609,Анастасия,53000000
http://www.wikidata.org/entity/Q199839,Книга джунглей,4000000
http://www.wikidata.org/entity/Q204416,Приключения знаменитого кота-сыщика,10000000
http://www.wikidata.org/entity/Q204662,Меч в камне,3000000
http://www.wikidata.org/entity/Q207659,Космический джэм,80000000
http://www.wikidata.org/entity/Q191753,Золушка,2200000
http://www.wikidata.org/entity/Q192403,Земля до начала времён,12300000
http://www.wikidata.org/entity/Q203108,Черепашки-ниндзя,34000000
http://www.wikidata.org/entity/Q190910,Ледниковый период 2: Глобальное потепление,80000000
http://www.wikidata.org/entity/Q192212,Тачки 2,200000000
"http://www.wikidata.org/entity/Q198028,""Паранорман, или Как приручить зомби"",60000000"
http://www.wikidata.org/entity/Q202371,Спасатели в Австралии,30000000
http://www.wikidata.org/entity/Q16729557,Муми-тролли на Ривьере,3467293
http://www.wikidata.org/entity/Q16386722,Маленький принц,57000000
http://www.wikidata.org/entity/Q15055043,Кунг-фу панда 3,145000000
http://www.wikidata.org/entity/Q15142320,Кот Гром и заколдованный дом,34000000
http://www.wikidata.org/entity/Q15270466,Аэротачки,20000000
http://www.wikidata.org/entity/Q15270647,Зверополис,150000000
http://www.wikidata.org/entity/Q15270648,Иван Царевич и Серый волк 2,3000000
http://www.wikidata.org/entity/Q15270775,Монстры на каникулах 2,80000000
http://www.wikidata.org/entity/Q15616479,Пингвины из Мадагаскара,132000000
http://www.wikidata.org/entity/Q15632949,Гринч,75000000
http://www.wikidata.org/entity/Q15965953,Ледниковый период 5: Столкновение неизбежно,105000000
http://www.wikidata.org/entity/Q15982441,Мелочь пузатая,99000000
http://www.wikidata.org/entity/Q16248866,Книга жизни,50000000
http://www.wikidata.org/entity/Q16609116,Сыщики под прикрытием,12500000
http://www.wikidata.org/entity/Q7754519,Реальная белка,42000000
http://www.wikidata.org/entity/Q5815826,Тайна Коко,225000000
http://www.wikidata.org/entity/Q7737199,Хороший динозавр,200000000
http://www.wikidata.org/entity/Q7746835,Легенда Титаника,4000000
http://www.wikidata.org/entity/Q7752510,Мышь и его дитя,1600000
http://www.wikidata.org/entity/Q6929072,Приключения мистера Пибоди и Шермана,145000000
http://www.wikidata.org/entity/Q6144664,Головоломка,175000000
http://www.wikidata.org/entity/Q6423183,Q6423183,12000000
http://www.wikidata.org/entity/Q9321426,В поисках Дори,200000000
http://www.wikidata.org/entity/Q6378736,Индюки: Назад в будущее,55000000
http://www.wikidata.org/entity/Q7712587,Q7712587,1500000
http://www.wikidata.org/entity/Q6505964,Оленёнок Рудольф,10000000
http://www.wikidata.org/entity/Q5664643,Суперкоманда,21000000
http://www.wikidata.org/entity/Q8885676,Навсикая из Долины ветров,758000
http://www.wikidata.org/entity/Q56092496,Седер-мазохизм,20000
http://www.wikidata.org/entity/Q49604555,Славные пташки,1000000000
http://www.wikidata.org/entity/Q56315512,Вилли и крутые тачки,20000000
http://www.wikidata.org/entity/Q60173312,Снежная королева: Зазеркалье,356000000
http://www.wikidata.org/entity/Q55087665,Эверест,75000000
http://www.wikidata.org/entity/Q59853386,Q59853386,7000000
http://www.wikidata.org/entity/Q56850065,Космический джем 2: Новое поколение,150000000
http://www.wikidata.org/entity/Q59690895,Вперёд,200000000
http://www.wikidata.org/entity/Q57314399,Playmobil фильм: Через вселенные,75000000
http://www.wikidata.org/entity/Q60997779,Миньоны: Грювитация,85000000
http://www.wikidata.org/entity/Q54825652,Семейка Аддамс,40000000
http://www.wikidata.org/entity/Q57653657,Сердце дуба,3000000
"http://www.wikidata.org/entity/Q46392313,""Юные титаны, вперёд!"",10000000"
http://www.wikidata.org/entity/Q41252539,Гурвинек: Волшебная игра,6500000
http://www.wikidata.org/entity/Q48757642,Астерикс и тайное зелье,33700000
http://www.wikidata.org/entity/Q2378287,Добрыня Никитич и Змей Горыныч,4500000
http://www.wikidata.org/entity/Q2381788,Алёша Попович и Тугарин Змей,4000000
http://www.wikidata.org/entity/Q2299779,Скотный двор,350000
http://www.wikidata.org/entity/Q2009674,Вэлиант: Пернатый спецназ,35000000
http://www.wikidata.org/entity/Q2061614,Хоппити вернулся,1000000
http://www.wikidata.org/entity/Q2089577,Камешек и пингвин,28000000
"http://www.wikidata.org/entity/Q1616888,""Эй, хорошо выглядишь"",1500000"
http://www.wikidata.org/entity/Q1523217,Турбо,127000000
http://www.wikidata.org/entity/Q1905968,Акира,5500000
http://www.wikidata.org/entity/Q1657080,Самолёты,50000000
http://www.wikidata.org/entity/Q1766287,Игорь,25000000
http://www.wikidata.org/entity/Q2165639,Опаснейшее путешествие,2400000
http://www.wikidata.org/entity/Q1707921,Тэд Джонс и Затерянный город,8000000
http://www.wikidata.org/entity/Q1721012,Каена: Пророчество,26000000
http://www.wikidata.org/entity/Q2122987,Ролли и Эльф: Невероятные приключения,4653091
http://www.wikidata.org/entity/Q1742152,Балто 3: Крылья перемен,3500000
"http://www.wikidata.org/entity/Q1743785,""Джимми Нейтрон, вундеркинд"",30000000"
http://www.wikidata.org/entity/Q1753443,Любопытный Джордж,50000000
http://www.wikidata.org/entity/Q1758203,Плавание в Мелонию,22000000
http://www.wikidata.org/entity/Q1764174,Волшебный меч: В поисках Камелота,40000000
http://www.wikidata.org/entity/Q1535570,More,105000
http://www.wikidata.org/entity/Q2298194,Битва за планету Терра,8000000
http://www.wikidata.org/entity/Q3218268,Чудаки,10000000
http://www.wikidata.org/entity/Q3218268,Чудаки,7500000
http://www.wikidata.org/entity/Q2943600,День рождения Алисы,60000000
http://www.wikidata.org/entity/Q3036406,Муми-Тролли и опасное лето,282800
http://www.wikidata.org/entity/Q3057240,Эрнест и Селестина: Приключения мышки и медведя,9000000
http://www.wikidata.org/entity/Q3131643,Муми-тролли и комета,1055656
http://www.wikidata.org/entity/Q3403358,Князь Владимир,5000000
http://www.wikidata.org/entity/Q2971575,Пеппи Длинныйчулок,10000000
http://www.wikidata.org/entity/Q3232351,Дети дождя,6000000
http://www.wikidata.org/entity/Q3307866,Миа и Мигу,9400000
http://www.wikidata.org/entity/Q4189838,Звёздный патруль: Легенда об Орине,3400000
http://www.wikidata.org/entity/Q4200018,Илья Муромец и Соловей-Разбойник,2000000
http://www.wikidata.org/entity/Q3095311,Q3095311,4000000
http://www.wikidata.org/entity/Q3197341,Q3197341,7500000
http://www.wikidata.org/entity/Q3235590,Волшебники,1200000
http://www.wikidata.org/entity/Q3522334,Q3522334,31200000
http://www.wikidata.org/entity/Q3783013,Q3783013,5200000
http://www.wikidata.org/entity/Q4195664,Иван Царевич и Серый волк,7500000
http://www.wikidata.org/entity/Q3727650,Три богатыря на дальних берегах,3500000
http://www.wikidata.org/entity/Q3400601,Эволюция,32000000
http://www.wikidata.org/entity/Q2407828,Супермен: Судный день,3500000
http://www.wikidata.org/entity/Q2480093,Метропия,34000000
http://www.wikidata.org/entity/Q2627763,Азур и Азмар,9000000
http://www.wikidata.org/entity/Q2657071,Вор и сапожник,28000000
http://www.wikidata.org/entity/Q2832409,Q2832409,3000000
http://www.wikidata.org/entity/Q2724377,Кирику и дикие звери,4800000
http://www.wikidata.org/entity/Q2864239,Морщинки,2000000
http://www.wikidata.org/entity/Q2891244,Яйца,17000000
http://www.wikidata.org/entity/Q17154837,Астерикс: Земля Богов,30000000
http://www.wikidata.org/entity/Q18647095,Бабай,2000000
http://www.wikidata.org/entity/Q17030810,Сосисочная вечеринка,19000000
http://www.wikidata.org/entity/Q17125101,Песнь моря,7500000
http://www.wikidata.org/entity/Q19608844,Жизнь Кабачка,6500000
http://www.wikidata.org/entity/Q19954882,Банда котиков,8000000
http://www.wikidata.org/entity/Q18517638,История игрушек 4,200000000
http://www.wikidata.org/entity/Q18647981,Моана,150000000
http://www.wikidata.org/entity/Q18162725,В поисках Титаника,4000000
http://www.wikidata.org/entity/Q19855255,Король обезьян,60000000
http://www.wikidata.org/entity/Q18400868,Смешарики. Легенда о золотом драконе,6300000
http://www.wikidata.org/entity/Q18534270,Странные чары,100000000
"http://www.wikidata.org/entity/Q18611414,""Мамочка, я – зомби"",1800000"
http://www.wikidata.org/entity/Q18619153,Босс-молокосос,125000000
http://www.wikidata.org/entity/Q18621595,Снежная королева 2: Перезаморозка,8000000
http://www.wikidata.org/entity/Q18703062,Angry Birds в кино,73000000
http://www.wikidata.org/entity/Q18786471,Кубо и две струны,60000000
http://www.wikidata.org/entity/Q18844656,Тайная жизнь домашних животных,75000000
http://www.wikidata.org/entity/Q21529463,Крепость. Щитом и мечом,3500000
http://www.wikidata.org/entity/Q22674112,Q22674112,700000
http://www.wikidata.org/entity/Q21639859,Иван Царевич и Серый волк 3,4000000
http://www.wikidata.org/entity/Q21644285,Савва. Сердце воина,1000000000
http://www.wikidata.org/entity/Q21647697,Лунный флаг,12500000
http://www.wikidata.org/entity/Q21755531,Робинзон Крузо: Очень обитаемый остров,13000000
http://www.wikidata.org/entity/Q21843161,Снежная королева 3: Огонь и лёд,360000000
http://www.wikidata.org/entity/Q24733929,Холодное сердце 2,150000000
http://www.wikidata.org/entity/Q24832112,Суперсемейка 2,200000000
http://www.wikidata.org/entity/Q24904727,Гномео и Джульетта: Шерлок Гномс,59000000
http://www.wikidata.org/entity/Q24935776,Крякнутые каникулы,20000000
http://www.wikidata.org/entity/Q25136586,Первый человек,50000000
http://www.wikidata.org/entity/Q21450480,Аисты,70000000
