statue,statueLabel,height,inception,countryLabel,elevation,materialLabel
http://www.wikidata.org/entity/Q2626926,Геркулес,,1493-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q2649664,Monumento a Almeida Garrett,,,Португалия,,бронза
http://www.wikidata.org/entity/Q2650290,Knielende vrouw met duif by Cor van Kralingen,,1965-01-01T00:00:00Z,Нидерланды,,бронза
http://www.wikidata.org/entity/Q2663959,Арес Боргезе,2.11,0200-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q2667065,Марафонский юноша,,-0330-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q2668248,Эфеб с Антикитеры,,-0339-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q2676704,Peerd van Ome Loeks,,1959-01-01T00:00:00Z,Нидерланды,,бетон
http://www.wikidata.org/entity/Q2681658,Ambiorix,,1866-01-01T00:00:00Z,Бельгия,,бронза
http://www.wikidata.org/entity/Q2688281,statue of Sacred Heart of Jesus Christ,,1944-09-08T00:00:00Z,Нидерланды,,
http://www.wikidata.org/entity/Q2721101,Q2721101,,,,,
http://www.wikidata.org/entity/Q2751070,Q2751070,,1978-01-01T00:00:00Z,Нидерланды,,бронза
http://www.wikidata.org/entity/Q2801856,Steinerner Fischer,,1606-01-01T00:00:00Z,Австрия,,
http://www.wikidata.org/entity/Q2830349,Willem II of the Netherlands,,1854-01-01T00:00:00Z,Нидерланды,,
http://www.wikidata.org/entity/Q2843222,Dancing Putto,37.8,1423-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q2857739,Running man with a violin case,,1982-01-01T00:00:00Z,Нидерланды,,металл
http://www.wikidata.org/entity/Q2858266,Афродита Менофантоса,,,Италия,,мрамор
http://www.wikidata.org/entity/Q2858460,Аполлон из Пьомбино,117,-0100-01-01T00:00:00Z,,,медь
http://www.wikidata.org/entity/Q2858460,Аполлон из Пьомбино,117,-0100-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q2858461,Аполлон Барберини,,,,,
http://www.wikidata.org/entity/Q2864715,Olmec figurine,,,,,
http://www.wikidata.org/entity/Q2875239,Q2875239,,1985-01-01T00:00:00Z,Нидерланды,,бронза
http://www.wikidata.org/entity/Q2881076,statue of Sacred Heart of Jesus Christ,,1924-01-01T00:00:00Z,Нидерланды,,
http://www.wikidata.org/entity/Q2882441,Памятник Колумбу (Мадрид),17,1885-01-01T00:00:00Z,Испания,,мрамор
http://www.wikidata.org/entity/Q2882675,María Santísima de la Esperanza de Vegueta,,,Испания,,
http://www.wikidata.org/entity/Q2884773,Our Lady of Loreto,,,Испания,,
http://www.wikidata.org/entity/Q2886261,Q2886261,,,Испания,,
http://www.wikidata.org/entity/Q2892800,Statue of Michiel de Ruyter,,1841-01-01T00:00:00Z,Нидерланды,,
http://www.wikidata.org/entity/Q2899308,Ивовый человек,1200,2000-01-01T00:00:00Z,Великобритания,,
http://www.wikidata.org/entity/Q2902596,Христос и святой Фома,,1467-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q2939929,Carolina,,1968-01-01T00:00:00Z,Франция,,бетон
http://www.wikidata.org/entity/Q2939929,Carolina,,1968-01-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q2942925,Statue of Hieronymus Bosch,220,1929-01-01T00:00:00Z,Нидерланды,,бронза
http://www.wikidata.org/entity/Q2944327,Centaur of Vulci,,-0590-01-01T00:00:00Z,,,nenfro
http://www.wikidata.org/entity/Q2956370,Chanteur florentin du XVe siècle,155,1865-01-01T00:00:00Z,,,серебро
http://www.wikidata.org/entity/Q2956370,Chanteur florentin du XVe siècle,155,1865-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q2964912,Christ de Vebret,,,Франция,,древесина
http://www.wikidata.org/entity/Q2989515,Juliana van Stolberg,,1927-01-01T00:00:00Z,Нидерланды,,
http://www.wikidata.org/entity/Q2989515,Juliana van Stolberg,,1930-01-01T00:00:00Z,Нидерланды,,
http://www.wikidata.org/entity/Q2993019,Венера Арлезианская,1.94,-0100-01-01T00:00:00Z,,,каррарский мрамор
http://www.wikidata.org/entity/Q2993019,Венера Арлезианская,1.94,-0100-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q3001854,Murlo cowboy,,-0400-01-01T00:00:00Z,,,терракота
http://www.wikidata.org/entity/Q3001854,Murlo cowboy,,-0400-01-01T00:00:00Z,,,коропластика
http://www.wikidata.org/entity/Q924349,Broder Fountain,,,Швейцария,,камень
http://www.wikidata.org/entity/Q924349,Broder Fountain,,,Швейцария,,бронза
http://www.wikidata.org/entity/Q924951,Maisonneuve Monument,,1891-04-23T00:00:00Z,Канада,,бронза
http://www.wikidata.org/entity/Q928540,Bronze statue of the emperor Augustus (NAMA X 23322),,,Греция,,бронза
http://www.wikidata.org/entity/Q932203,Статуя Ленина в Сиэтле,5,1988-01-01T00:00:00Z,США,,бронза
http://www.wikidata.org/entity/Q943385,Статуя Франца Кафки,3.75,2003-01-01T00:00:00Z,Чехия,,бронза
http://www.wikidata.org/entity/Q958448,Паквино,,0150-01-01T00:00:00Z,Италия,,мрамор
http://www.wikidata.org/entity/Q959395,Ника Пеония,2.16,-0420-01-01T00:00:00Z,Греция,,паросский мрамор
http://www.wikidata.org/entity/Q990147,Q990147,,,Венгрия,,
http://www.wikidata.org/entity/Q990148,Q990148,,,Венгрия,,
http://www.wikidata.org/entity/Q991116,Q991116,,,Венгрия,,
http://www.wikidata.org/entity/Q991508,"Statue of Károly Esterházy in Pápa, Hungary",,2000-05-04T00:00:00Z,Венгрия,,бронза
http://www.wikidata.org/entity/Q996681,Grimm National Monument Hanau,,,Германия,,бронза
http://www.wikidata.org/entity/Q997491,Bubenberg memorial,,1897-01-01T00:00:00Z,Швейцария,,камень
http://www.wikidata.org/entity/Q997491,Bubenberg memorial,,1897-01-01T00:00:00Z,Швейцария,,бронза
http://www.wikidata.org/entity/Q1000021,Memorial Frederick I of Prussia,,1698-01-01T00:00:00Z,Германия,,бронза
http://www.wikidata.org/entity/Q1000021,Memorial Frederick I of Prussia,,1972-01-01T00:00:00Z,Германия,,бронза
http://www.wikidata.org/entity/Q1000021,Memorial Frederick I of Prussia,,1698-01-01T00:00:00Z,Германия,,мрамор
http://www.wikidata.org/entity/Q1000021,Memorial Frederick I of Prussia,,1972-01-01T00:00:00Z,Германия,,мрамор
http://www.wikidata.org/entity/Q1000021,Memorial Frederick I of Prussia,,1698-01-01T00:00:00Z,Германия,,гранит
http://www.wikidata.org/entity/Q1000021,Memorial Frederick I of Prussia,,1972-01-01T00:00:00Z,Германия,,гранит
http://www.wikidata.org/entity/Q1004606,Fátyol Misi statue,,,Венгрия,,
http://www.wikidata.org/entity/Q1007458,Q1007458,,,Венгрия,,
http://www.wikidata.org/entity/Q1007461,Galamb József statue,,,Венгрия,,
http://www.wikidata.org/entity/Q1026196,Calafati carousel figure (Wurstelprater),,,,,
http://www.wikidata.org/entity/Q1054997,Soldier's Statue,,1893-01-01T00:00:00Z,Венгрия,,бронза
http://www.wikidata.org/entity/Q1057998,Statue of Prince Csaba,,,Венгрия,,
http://www.wikidata.org/entity/Q1088334,Chronos und die Trauernde,,,Германия,,песчаник
http://www.wikidata.org/entity/Q1095794,Идолино,146,-0500-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q1100798,памятник Гагарину на Ленинском проспекте,12.5,1980-07-04T00:00:00Z,Россия,,титан
http://www.wikidata.org/entity/Q1100798,памятник Гагарину на Ленинском проспекте,30,1980-07-04T00:00:00Z,Россия,,титан
http://www.wikidata.org/entity/Q1101304,John Lennon statue,,,Венгрия,,
http://www.wikidata.org/entity/Q1102692,Heart of Jesus,22,,Румыния,,
http://www.wikidata.org/entity/Q1105502,"Statue of Aunt Kati, Székesfehérvár",,,Венгрия,,бронза
http://www.wikidata.org/entity/Q1113671,Klebelsberg Kunó Memorial,,,Венгрия,,
http://www.wikidata.org/entity/Q1116625,Amazon Mattei,211,-0500-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q1119456,Lajos Kossuth statue,,1899-01-01T00:00:00Z,Австро-Венгрия,,
http://www.wikidata.org/entity/Q1119460,Lajos Kossuth statue,,,Венгрия,,
http://www.wikidata.org/entity/Q1136305,Дорифор,212,-0450-01-01T00:00:00Z,Италия,,бронза
http://www.wikidata.org/entity/Q1144812,Памятник Петру I в Таганроге,,1872-01-01T00:00:00Z,Россия,,бронза
http://www.wikidata.org/entity/Q1144812,Памятник Петру I в Таганроге,,1903-01-01T00:00:00Z,Россия,,бронза
http://www.wikidata.org/entity/Q1162502,Magyar Pieta 1956,,,Венгрия,,
http://www.wikidata.org/entity/Q1175472,Q1175472,,1988-01-01T00:00:00Z,Венгрия,,бронза
http://www.wikidata.org/entity/Q1179838,De Dokwerker,2.5,1952-01-01T00:00:00Z,Нидерланды,,бронза
http://www.wikidata.org/entity/Q1187983,Friedrich Wilhelm I of Brandenburg memorial,,,Германия,,
http://www.wikidata.org/entity/Q1187995,Памятник Францу Ксаверу Габельсбергеру (Мюнхен),,,Германия,,камень
http://www.wikidata.org/entity/Q1187995,Памятник Францу Ксаверу Габельсбергеру (Мюнхен),,,Германия,,бронза
http://www.wikidata.org/entity/Q1188001,Q1188001,,1861-01-01T00:00:00Z,Германия,,камень
http://www.wikidata.org/entity/Q1188001,Q1188001,,1861-01-01T00:00:00Z,Германия,,бронза
http://www.wikidata.org/entity/Q1188008,Monument to Otto of Freising,,1858-01-01T00:00:00Z,Германия,,
http://www.wikidata.org/entity/Q1188009,Oliveira Martins memorial,,,Португалия,,камень
http://www.wikidata.org/entity/Q1188014,Pedro Álvares Cabral Monument,10,1941-01-01T00:00:00Z,Португалия,,бронза
http://www.wikidata.org/entity/Q1188014,Pedro Álvares Cabral Monument,10,1941-01-01T00:00:00Z,Португалия,,гранит
http://www.wikidata.org/entity/Q1194089,Der Hafenarbeiter,,1893-01-01T00:00:00Z,Германия,,бронза
http://www.wikidata.org/entity/Q1195613,The man with the hammer,,,,,
http://www.wikidata.org/entity/Q1197664,Uhlenköper,,,Германия,,бронза
http://www.wikidata.org/entity/Q1198701,Der gescheiterte Varus,,,Германия,,бронза
http://www.wikidata.org/entity/Q1208140,Диадумен,,-0430-01-01T00:00:00Z,,,мрамор
